trip_id,country,age_group,travel_companions,num_females,num_males,main_activity,visit_purpose,is_first_visit,mainland_stay_nights,island_stay_nights,tour_type,intl_transport_included,info_source,accomodation_included,food_included,domestic_transport_included,sightseeing_included,guide_included,insurance_included,days_booked_before_trip,arrival_weather,total_trip_days,has_special_requirements,spend_category
tour_idi6vtqxwa,UNITED STATES OF AMERICA,45-64,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,5,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,61-90,humid,30+,,0.0
tour_id5qg5lnmn,ZAMBIA,25-44,With Children,1.0,1.0,Beach Tourism,Leisure and Holidays,No,13,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,Rainy,30+,,2.0
tour_id1vaq7aj8,ITALY,18-24,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,No,No,,"sunny,",1-6,,0.0
tour_ididjab9mk,SOUTH AFRICA,45-64,Alone,1.0,0.0,Beach Tourism,Visiting Friends and Relatives,Yes,3,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,31-60,Rainy,1-6,,1.0
tour_idx4bz2gzo,CANADA,45-64,Alone,0.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,4,3,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,No,90+,"Windy,",7-14,,0.0
tour_ids6r1q50h,GERMANY,65+,Alone,1.0,0.0,Hunting Tourism,Leisure and Holidays,Yes,15,1,Package Tour,,"Travel agent, tour operator",Yes,Yes,No,Yes,Yes,No,,"sunny,",30+,none,0.0
tour_idef8nnagx,UNITED STATES OF AMERICA,65+,Alone,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,5,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,61-90,,1-6,none,0.0
tour_idel10sxo4,KENYA,,With Spouse and Children,2.0,2.0,Hunting Tourism,Leisure and Holidays,No,0,3,Independent,No,"Radio, TV, Web",No,No,No,No,No,No,90+,"cloudy,",1-6,none,0.0
tour_idapunjrvs,FRANCE,18-24,With Spouse and Children,2.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,9,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,61-90,humid,15-30,none,0.0
tour_id9n01kuqd,ITALY,25-44,With Spouse and Children,1.0,3.0,Beach Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Friends, relatives",Yes,Yes,Yes,No,Yes,No,61-90,other,7-14,,0.0
tour_idkh34bv2o,ITALY,45-64,With Spouse and Children,3.0,2.0,Cultural Tourism,Leisure and Holidays,Yes,5,10,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,61-90,Stormy,7-14,,0.0
tour_ido3djut0h,ZAMBIA,25-44,Alone,0.0,1.0,Hunting Tourism,Business,No,7,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,,30+,,1.0
tour_idm0vde5jw,GERMANY,25-44,With Spouse,1.0,1.0,Cultural Tourism,Leisure and Holidays,Yes,0,15,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,"sunny,",15-30,,1.0
tour_idfmuy5lv4,GERMANY,25-44,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,8,6,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,90+,"cloudy,",15-30,,0.0
tour_idq1i3lqbh,SOUTH AFRICA,25-44,Alone,1.0,0.0,Mountain Climbing,Meetings and Conference,Yes,3,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,61-90,,1-6,,1.0
tour_idjpxjgc1l,DENMARK,65+,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,No,4,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,90+,"sunny,",30+,,0.0
tour_id1heh7mbe,SOUTH AFRICA,45-64,Alone,0.0,1.0,Bird Tourism,Meetings and Conference,No,13,0,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,No,61-90,other,15-30,none,1.0
tour_idxv80jc0p,SOUTH AFRICA,45-64,With Spouse,1.0,1.0,Business,Leisure and Holidays,No,0,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,No,No,90+,"Windy,",30+,,0.0
tour_id0x0563x6,CONGO,25-44,With Other Friends/Relatives,0.0,3.0,Hunting Tourism,Other,No,6,0,Independent,No,Others,No,No,No,No,No,No,1-7 ,"sunny,",30+,,2.0
tour_idj7szew10,ISRAEL,25-44,With Other Friends/Relatives,1.0,1.0,Beach Tourism,Leisure and Holidays,No,0,9,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,,15-30,,1.0
tour_idhcf0bi0s,FRANCE,25-44,With Other Friends/Relatives,2.0,2.0,Business,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Friends, relatives",Yes,No,Yes,No,No,No,61-90,"Windy,",7-14,,0.0
tour_idq20yhdih,SWIZERLAND,45-64,,1.0,0.0,Wildlife Tourism,Visiting Friends and Relatives,Yes,30,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,"sunny,",7-14,,1.0
tour_idhi6x53yz,SOUTH AFRICA,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,6,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,90+,,30+,,1.0
tour_idqugixiun,UNITED KINGDOM,25-44,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,3,6,Package Tour,Yes,"Travel agent, tour operator",No,Yes,Yes,Yes,Yes,Yes,90+,Rainy,7-14,none,0.0
tour_id5wa48pl8,UNITED KINGDOM,18-24,,2.0,1.0,Cultural Tourism,Leisure and Holidays,Yes,50,5,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,Rainy,7-14,none,0.0
tour_ide2ff3bsv,CHINA,25-44,With Other Friends/Relatives,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,4,4,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,61-90,"sunny,",15-30,,0.0
tour_idexarajah,UNITED KINGDOM,18-24,With Other Friends/Relatives,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,8,2,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,No,Yes,No,No,61-90,other,15-30,,1.0
tour_id8kwt3743,FRANCE,25-44,With Other Friends/Relatives,3.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,8,2,Package Tour,Yes,"Travel agent, tour operator",No,Yes,Yes,Yes,Yes,No,15-30 ,,1-6,none,0.0
tour_idvindmm5t,BURUNDI,18-24,With Other Friends/Relatives,2.0,0.0,Beach Tourism,Leisure and Holidays,No,2,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,humid,1-6,,2.0
tour_idng9jmrbd,UNITED STATES OF AMERICA,65+,Alone,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,14,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,61-90,"Windy,",7-14,,0.0
tour_ide9av2gg8,FRANCE,25-44,Alone,1.0,0.0,Hunting Tourism,Meetings and Conference,No,2,0,Independent,No,Mexican Mission Abroad,No,No,No,No,No,No,61-90,,30+,,2.0
tour_idn72jt150,UNITED STATES OF AMERICA,25-44,Alone,1.0,0.0,Conference Tourism,Leisure and Holidays,Yes,9,3,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,61-90,Stormy,7-14,,0.0
tour_idendphyro,UNITED KINGDOM,25-44,With Spouse,1.0,1.0,Wildlife Tourism,Leisure and Holidays,Yes,11,4,Package Tour,Yes,"Friends, relatives",Yes,Yes,Yes,Yes,Yes,Yes,31-60,"cloudy,",1-6,,0.0
tour_idee5comke,UNITED STATES OF AMERICA,45-64,With Children,1.0,2.0,Conference Tourism,Leisure and Holidays,Yes,13,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,No,Yes,No,61-90,"sunny,",7-14,translator required.,0.0
tour_idbf3dc1ys,KENYA,25-44,Alone,0.0,1.0,Cultural Tourism,Visiting Friends and Relatives,No,2,0,Independent,No,Others,No,No,No,No,No,No,90+,"cloudy,",30+,,2.0
tour_idjqsevhdd,AUSTRALIA,25-44,With Spouse,0.0,0.0,Conference Tourism,Leisure and Holidays,Yes,10,0,Package Tour,No,"Radio, TV, Web",Yes,Yes,Yes,No,No,No,61-90,"sunny,",30+,none,0.0
tour_idf2pcb8ta,CHINA,25-44,Alone,0.0,1.0,Mountain Climbing,Business,Yes,4,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,No,No,No,No,61-90,"sunny,",30+,translator required.,1.0
tour_id1v9d9w1z,NETHERLANDS,25-44,With Spouse,1.0,0.0,Cultural Tourism,Visiting Friends and Relatives,Yes,7,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,,30+,none,2.0
tour_idfwd9dmaz,UNITED STATES OF AMERICA,25-44,Alone,1.0,0.0,Beach Tourism,Business,Yes,9,1,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,90+,"sunny,",7-14,none,1.0
tour_id93wxm6al,UNITED STATES OF AMERICA,25-44,Alone,1.0,0.0,Wildlife Tourism,Leisure and Holidays,No,24,0,Package Tour,No,"Friends, relatives",Yes,Yes,Yes,Yes,Yes,No,15-30 ,,1-6,none,0.0
tour_id49e9xc5s,KENYA,45-64,Alone,1.0,0.0,Mountain Climbing,Business,No,2,0,Package Tour,Yes,"Friends, relatives",Yes,Yes,No,No,No,No,61-90,"sunny,",1-6,none,1.0
tour_idwq8jd0hj,ZIMBABWE,25-44,Alone,0.0,1.0,Hunting Tourism,Business,No,2,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,,7-14,,1.0
tour_idn7ckzo26,SWEDEN,25-44,With Spouse,1.0,1.0,Cultural Tourism,Leisure and Holidays,Yes,15,0,Independent,No,Others,No,No,No,No,No,No,15-30 ,humid,7-14,,1.0
tour_idhpqtxp3i,FRANCE,25-44,With Spouse and Children,2.0,2.0,Beach Tourism,Leisure and Holidays,Yes,12,0,Package Tour,Yes,"Newspaper, magazines, brochures",Yes,Yes,No,No,No,Yes,61-90,Rainy,7-14,"dietary needs,",0.0
tour_id9yznhkbz,FRANCE,25-44,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,7,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,No,No,31-60,,30+,,0.0
tour_idnb56l9h2,UNITED STATES OF AMERICA,65+,With Other Friends/Relatives,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,5,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,31-60,,1-6,,0.0
tour_idce8v31xu,KENYA,25-44,With Other Friends/Relatives,1.0,2.0,,Business,No,6,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,,7-14,,1.0
tour_iddg4sjcji,ZIMBABWE,25-44,Alone,0.0,1.0,Wildlife Tourism,Business,No,1,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,,1-6,,0.0
tour_idecdqhnpe,NETHERLANDS,25-44,With Other Friends/Relatives,2.0,0.0,Conference Tourism,Leisure and Holidays,Yes,8,6,Package Tour,No,"Friends, relatives",Yes,No,Yes,No,Yes,No,31-60,"sunny,",7-14,none,0.0
tour_idc45d6ity,NETHERLANDS,25-44,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,6,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,No,No,No,90+,"sunny,",30+,,0.0
tour_idiq2zlyhu,KOREA,45-64,With Spouse,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,5,2,Package Tour,Yes,"Travel agent, tour operator",Yes,No,Yes,No,Yes,Yes,61-90,Rainy,30+,,0.0
tour_id32q7f8hw,UNITED STATES OF AMERICA,65+,Alone,1.0,0.0,Wildlife Tourism,Leisure and Holidays,Yes,4,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,61-90,Rainy,7-14,"dietary needs,",0.0
tour_idsjekwu9f,FRANCE,25-44,With Spouse,1.0,1.0,Wildlife Tourism,Leisure and Holidays,Yes,6,5,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,15-30 ,"cloudy,",1-6,,0.0
tour_idya3ppj3y,BELGIUM,25-44,With Other Friends/Relatives,2.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,3,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,"Windy,",7-14,,1.0
tour_idg5a988c2,SWEDEN,18-24,Alone,1.0,0.0,Hunting Tourism,Scientific and Academic,,30,3,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,61-90,"cloudy,",7-14,,1.0
tour_id6bcuy66p,IRELAND,<18,Alone,0.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,12,0,Package Tour,Yes,Others,Yes,Yes,Yes,Yes,Yes,Yes,90+,other,7-14,,0.0
tour_idfv205kgz,ITALY,25-44,Alone,0.0,1.0,Beach Tourism,Visiting Friends and Relatives,Yes,0,7,Independent,No,"Friends, relatives",No,No,No,No,No,No,31-60,"sunny,",15-30,,1.0
tour_id9vco1r17,RUSSIA,25-44,Alone,0.0,1.0,Widlife Tourism,Leisure and Holidays,No,3,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,,1-6,,1.0
tour_id4req6yir,UNITED STATES OF AMERICA,25-44,Alone,0.0,1.0,Beach Tourism,Visiting Friends and Relatives,No,4,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,humid,7-14,none,1.0
tour_idd43rl0cu,INDIA,25-44,Alone,0.0,1.0,Beach Tourism,Visiting Friends and Relatives,Yes,90,0,Independent,No,Others,No,No,No,No,No,No,61-90,"sunny,",15-30,,1.0
tour_id6u1cgbeo,UNITED STATES OF AMERICA,45-64,With Spouse and Children,1.0,3.0,Beach Tourism,Visiting Friends and Relatives,No,4,10,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,,7-14,,1.0
tour_idcurhiznx,ITALY,25-44,With Other Friends/Relatives,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,6,6,Package Tour,No,Trade fair,Yes,Yes,No,Yes,Yes,No,61-90,,1-6,,2.0
tour_id85ru1zq0,SOUTH AFRICA,65+,With Other Friends/Relatives,3.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,10,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,61-90,"sunny,",1-6,,1.0
tour_idlv7e8xv4,UNITED KINGDOM,45-64,With Children,1.0,1.0,Conference Tourism,Leisure and Holidays,Yes,11,0,Package Tour,No,"Travel agent, tour operator",Yes,No,Yes,No,Yes,,61-90,"sunny,",1-6,,0.0
tour_iddotlpvba,ITALY,45-64,,0.0,1.0,Cultural Tourism,Meetings and Conference,Yes,0,2,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,No,No,90+,,7-14,"dietary needs,",2.0
tour_idqx4djw4i,UGANDA,45-64,Alone,0.0,1.0,Beach Tourism,Visiting Friends and Relatives,No,2,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,"sunny,",7-14,none,2.0
tour_idbwe4n8xu,ITALY,45-64,Alone,0.0,1.0,Widlife Tourism,Leisure and Holidays,No,7,0,Package Tour,,"Travel agent, tour operator",Yes,Yes,No,Yes,No,No,61-90,Rainy,30+,translator required.,0.0
tour_idkqgumx7e,ITALY,45-64,With Children,2.0,1.0,Cultural Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,No,Yes,Yes,61-90,other,7-14,none,0.0
tour_id41jedkuz,SWIZERLAND,25-44,Alone,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,21,35,Independent,No,"Newspaper, magazines, brochures",,No,No,No,No,No,90+,,7-14,none,1.0
tour_idmgax0x5a,UNITED KINGDOM,25-44,Alone,0.0,1.0,Conference Tourism,Leisure and Holidays,Yes,11,0,Independent,No,"Radio, TV, Web",No,No,No,No,No,No,,,15-30,,1.0
tour_id5lvq51on,ZAMBIA,25-44,Alone,0.0,1.0,Beach Tourism,Business,No,7,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,31-60,"cloudy,",7-14,,1.0
tour_idw9kyvf81,ITALY,45-64,Alone,0.0,1.0,Beach Tourism,Leisure and Holidays,No,30,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,,30+,none,1.0
tour_idyyg0izv9,IRELAND,25-44,Alone,0.0,1.0,Conference Tourism,Leisure and Holidays,Yes,15,0,Independent,No,"Friends, relatives",No,,No,No,No,No,90+,,1-6,none,1.0
tour_id8k2qib9u,CANADA,45-64,With Other Friends/Relatives,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,13,8,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,61-90,,30+,,0.0
tour_id17smi3h2,CHINA,25-44,With Other Friends/Relatives,0.0,2.0,Beach Tourism,Leisure and Holidays,Yes,25,0,Package Tour,No,"Radio, TV, Web",Yes,Yes,Yes,Yes,Yes,No,,Rainy,15-30,"dietary needs,",0.0
tour_id0f1hr9vh,AUSTRALIA,45-64,With Children,0.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,10,3,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,15-30 ,,15-30,"dietary needs,",0.0
tour_idupcgvvdo,UNITED STATES OF AMERICA,18-24,Alone,1.0,0.0,Business,Leisure and Holidays,Yes,0,13,Independent,No,"Newspaper, magazines, brochures",No,No,No,No,No,,61-90,other,30+,none,1.0
tour_idbwf8wxil,UNITED STATES OF AMERICA,45-64,With Spouse,1.0,1.0,Wildlife Tourism,Leisure and Holidays,Yes,14,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,15-30 ,Rainy,30+,,1.0
tour_idtgp7chk7,ITALY,45-64,With Spouse,1.0,1.0,Beach Tourism,Leisure and Holidays,Yes,0,7,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,No,No,Yes,No,90+,other,30+,"wheelchair,",0.0
tour_id48r1imni,PHILIPINES,45-64,Alone,0.0,1.0,Beach Tourism,Visiting Friends and Relatives,Yes,7,0,Independent,No,Mexican Mission Abroad,No,No,No,No,No,No,90+,,30+,translator required.,1.0
tour_id9byqqpi9,UNITED STATES OF AMERICA,25-44,Alone,1.0,0.0,Hunting Tourism,Meetings and Conference,No,14,0,Independent,No,Others,No,No,No,No,Yes,No,90+,,7-14,,1.0
tour_idy6lwmyhr,SOUTH AFRICA,25-44,With Other Friends/Relatives,2.0,2.0,Widlife Tourism,Visiting Friends and Relatives,No,90,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,Rainy,7-14,,2.0
tour_id4a2yqkl2,FRANCE,65+,With Other Friends/Relatives,1.0,0.0,Widlife Tourism,Leisure and Holidays,Yes,12,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,90+,,7-14,,0.0
tour_idrokopd9m,SOUTH AFRICA,65+,With Other Friends/Relatives,2.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,14,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,90+,"Windy,",30+,,0.0
tour_idgbmlr5y6,SPAIN,25-44,,1.0,0.0,Wildlife Tourism,Leisure and Holidays,No,32,43,Package Tour,No,Trade fair,Yes,Yes,Yes,Yes,Yes,No,61-90,Rainy,30+,,0.0
tour_idhloijx1h,UNITED KINGDOM,25-44,With Spouse and Children,3.0,3.0,Cultural Tourism,Leisure and Holidays,No,11,3,Independent,No,"Friends, relatives",No,No,No,No,No,No,8-14,,7-14,none,0.0
tour_idywfw7ja4,UNITED STATES OF AMERICA,45-64,Alone,1.0,0.0,Widlife Tourism,Leisure and Holidays,No,19,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,61-90,Rainy,15-30,none,0.0
tour_idv47njxw0,NETHERLANDS,45-64,With Spouse and Children,2.0,3.0,Wildlife Tourism,Leisure and Holidays,Yes,10,5,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,Yes,61-90,,30+,,0.0
tour_idj6d5hwfr,SOUTH AFRICA,65+,With Children,1.0,1.0,Widlife Tourism,Leisure and Holidays,Yes,7,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,No,No,No,No,90+,"cloudy,",1-6,none,0.0
tour_idtuesr0uu,SOUTH AFRICA,45-64,With Other Friends/Relatives,5.0,6.0,Widlife Tourism,Leisure and Holidays,Yes,9,1,Independent,No,"Friends, relatives",No,No,No,No,No,No,61-90,Rainy,30+,none,0.0
tour_idmikn3i8b,AUSTRALIA,18-24,Alone,1.0,0.0,Beach Tourism,Leisure and Holidays,Yes,2,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,61-90,"sunny,",7-14,,2.0
tour_ida4st77c9,CHINA,25-44,With Other Friends/Relatives,0.0,2.0,Beach Tourism,Meetings and Conference,Yes,5,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,,humid,7-14,,1.0
tour_id9ggl9poz,UNITED STATES OF AMERICA,45-64,With Spouse and Children,3.0,1.0,Wildlife Tourism,Leisure and Holidays,Yes,4,0,Package Tour,No,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,61-90,,1-6,,0.0
tour_id9w41hhbj,UNITED STATES OF AMERICA,45-64,Alone,1.0,0.0,Hunting Tourism,Leisure and Holidays,Yes,10,0,Package Tour,Yes,"Travel agent, tour operator",Yes,Yes,Yes,Yes,Yes,No,90+,other,1-6,none,0.0
tour_idoaq4evdn,GERMANY,45-64,With Spouse and Children,2.0,2.0,Wildlife Tourism,Leisure and Holidays,Yes,13,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,8-14,"cloudy,",30+,,1.0
tour_iddirpxxoa,NETHERLANDS,65+,With Other Friends/Relatives,1.0,2.0,Widlife Tourism,Leisure and Holidays,Yes,6,0,Independent,No,"Travel agent, tour operator",No,No,No,No,No,No,,"sunny,",7-14,none,1.0
tour_idxqtjw0td,KOREA,25-44,,1.0,0.0,Wildlife Tourism,Visiting Friends and Relatives,No,30,0,Independent,No,"Friends, relatives",No,No,No,No,No,No,90+,Stormy,7-14,,1.0
tour_id6rtjtcw6,UNITED KINGDOM,45-64,Alone,0.0,1.0,Widlife Tourism,Business,No,10,6,Package Tour,No,"Travel agent, tour operator",Yes,Yes,No,Yes,Yes,No,90+,,7-14,none,1.0
